大台北捷運車站名稱,大台北捷運車站地址,緯度,經度
動物園,台北市文山區新光路二段32號,24.998197,121.579338
木柵,台北市文山區木柵路四段135號,24.998241,121.573145
萬芳社區,台北市文山區萬芳路60號,24.998585,121.568102
萬芳醫院,台北市文山區興隆路三段113號,24.999386,121.558152
辛亥,台北市文山區辛亥路四段128號,25.005475,121.557107
麟光,台北市大安區和平東路三段410號,25.018535,121.558791
六張犁,台北市大安區和平東路三段168號,25.023777,121.553115
科技大樓,台北市大安區復興南路二段235號,25.026125,121.543437
大安,台北市大安區信義路四段2號,25.032943,121.543551
忠孝復興,台北市大安區忠孝東路四段47號,25.041629,121.543767
南京復興,台北市松山區南京東路三段253號,25.052319,121.544011
中山國中,台北市中山區復興北路376號,25.060849,121.544227
松山機場,台北市松山區敦化北路338號,25.063,121.551996
大直,台北市中山區北安路534之1號,25.079477,121.546895
劍南路,台北市中山區北安路798號,25.084853,121.555592
西湖,台北市內湖區內湖路一段256號,25.082133,121.567213
港墘,台北市內湖區內湖路一段663號,25.080028,121.575081
文德,台北市內湖區文德路214號,25.078532,121.584761
內湖,台北市內湖區成功路四段186號,25.083661,121.594408
大湖公園,台北市內湖區成功路五段11號,25.083845,121.602141
葫洲,台北市內湖區康寧路三段16號,25.072701,121.607158
東湖,台北市內湖區康寧路三段235號,25.067147,121.611445
南港軟體園區,台北市南港區經貿二路183號,25.059905,121.615953
南港展覽館,台北市南港區南港路一段32號,25.055288,121.6175001
象山,台北市信義區信義路五段152號B1,25.03283,121.569576
台北101/世貿,台北市信義區信義路五段20號B1,25.033102,121.563292
信義安和,台北市大安區信義路四段212之1號B1,25.033326,121.553526
大安,台北市大安區信義路四段2號,25.032943,121.543551
大安森林公園,台北市大安區信義路三段100號B1,25.033396,121.534882
東門,台北市大安區信義路二段166號B1,25.033847,121.528739
中正紀念堂,台北市中正區羅斯福路一段8之1號B1,25.032729,121.51827
台大醫院,台北市中正區公園路52號B1,25.041256,121.51604
台北車站,台北市中正區忠孝西路一段49號,25.046255,121.517532
中山,台北市中山區南京西路16號,25.052685,121.520392
雙連,台北市大同區民生西路47號,25.057805,121.520627
民權西路,台北市大同區民權西路72號,25.062905,121.51932
圓山,台北市大同區酒泉街9之1號,25.071353,121.520118
劍潭,台北市士林區中山北路五段65號,25.084873,121.525078
士林,台北市士林區福德路1號,25.093535,121.52623
芝山,台北市士林區福國路70號,25.10306,121.522514
明德,台北市北投區明德路95號,25.109721,121.518848
石牌,台北市北投區石牌路一段200號,25.114523,121.515559
唭哩岸,台北市北投區東華街二段301號,25.120872,121.506252
奇岩,台北市北投區三合街二段489號,25.125491,121.501132
北投,台北市北投區光明路1號,25.131841,121.498633
新北投,台北市北投區大業路700號,25.136933,121.50253
復興崗,台北市北投區中央北路三段53巷10號,25.137474,121.485444
忠義,台北市北投區中央北路四段301號,25.130969,121.47341
關渡,台北市北投區大度路三段296巷51號,25.125633,121.467102
竹圍,新北市淡水區民權路50號,25.13694,121.459479
紅樹林,新北市淡水區中正東路二段68號,25.154042,121.458872
淡水,新北市淡水區中正路1號,25.167818,121.445561
新店,新北市新店區北宜路一段2號,24.957855,121.537584
新店區公所,新北市新店區北新路一段295號,24.967393,121.54131
七張,新北市新店區北新路二段150號,24.975169,121.542942
小碧潭,新北市新店區中央路151號4樓,24.971907,121.530339
大坪林,新北市新店區北新路三段190號,24.982899,121.541352
景美,台北市文山區羅斯福路六段393號,24.9921276,121.5406037
萬隆,台北市文山區羅斯福路五段214號,25.001853,121.539051
公館,台北市中正區羅斯福路四段74號B1,25.014908,121.534216
台電大樓,台北市中正區羅斯福路三段126之5號B1,25.020725,121.528168
古亭,台北市中正區羅斯福路二段164之1號B1,25.026357,121.522873
中正紀念堂,台北市中正區羅斯福路一段8之1號B1,25.032729,121.51827
小南門,台北市中正區愛國西路22號B1,25.035547,121.510857
西門,台北市中正區寶慶路32之1號B1,25.04209,121.508303
北門,台北市大同區塔城街10號,25.049554,121.510184
中山,台北市中山區南京西路16號,25.052685,121.520392
松江南京,台北市中山區松江路126號B1,25.052015,121.533075
南京復興,台北市松山區南京東路三段253號,25.052319,121.544011
台北小巨蛋,台北市松山區南京東路四段10-1號,25.051836,121.55153
南京三民,台北市松山區南京東路五段237號,25.051652,121.564708
松山,台北市松山區八德路四段742號,25.050118,121.577706
南勢角,新北市中和區捷運路6號,24.990045,121.509237
景安,新北市中和區景平路486號,24.993905,121.505113
永安市場,新北市中和區中和路388號,25.002876,121.511231
頂溪,新北市永和區永和路二段168號B1,25.013821,121.515485
古亭,台北市中正區羅斯福路二段164之1號B1,25.026357,121.522873
東門,台北市大安區信義路二段166號B1,25.033847,121.528739
忠孝新生,台北市大安區新生南路一段67號,25.042356,121.532905
松江南京,台北市中山區松江路126號B1,25.052015,121.533075
行天宮,台北市中山區松江路316號B1,25.059718,121.533185
中山國小,台北市中山區民權東路一段71號B1,25.062694,121.526419
民權西路,台北市大同區民權西路72號,25.062905,121.51932
大橋頭,台北市大同區民權西路223號B1,25.063256,121.51272
台北橋,新北市三重區重新路一段108號B1,25.063274,121.500762
菜寮,新北市三重區重新路三段150號B1,25.060274,121.492156
三重,新北市三重區捷運路36號B1,25.055791,121.484725
先嗇宮,新北市三重區重新路五段515號B1,25.046493,121.471916
頭前庄,新北市新莊區思源路18號B1,25.039705,121.461746
新莊,新北市新莊區中正路138號B1,25.036125,121.452468
輔大,新北市新莊區中正路510之1號B1,25.032718,121.43547
丹鳳,新北市新莊區中正路624之1號B1,25.0288671,121.4227079
迴龍,新北市新莊區中正路758號B1,25.021862,121.41127
三重國小,新北市三重區三和路三段5號B1,25.070319,121.496904
三和國中,新北市三重區三和路四段107號B1,25.076859,121.486347
徐匯中學,新北市蘆洲區中山一路3號B1,25.080728,121.479673
三民高中,新北市蘆洲區三民路105號B1,25.085456,121.473389
蘆洲,新北市蘆洲區三民路386號B1,25.091554,121.464471
頂埔,新北市土城區中央路四段51-6號B3,24.96012,121.4205
永寧,新北市土城區中央路三段105號B1,24.966726,121.436072
土城,新北市土城區金城路一段105號B1,24.973094,121.444362
海山,新北市土城區海山路39號B2,24.985339,121.448786
亞東醫院,新北市板橋區南雅南路二段17號B1,24.998037,121.452514
府中,新北市板橋區縣民大道一段193號B1,25.008619,121.459409
板橋,新北市板橋區站前路5號B1,25.013618,121.462302
新埔,新北市板橋區民生路三段2號B1,25.023738,121.468361
江子翠,新北市板橋區文化路二段296號B1,25.03001,121.47239
龍山寺,台北市萬華區西園路一段153號,25.03528,121.499826
西門,台北市中正區寶慶路32之1號B1,25.04209,121.508303
台北車站,台北市中正區忠孝西路一段49號,25.046255,121.517532
善導寺,台北市中正區忠孝東路一段58號B1,25.044823,121.523208
忠孝新生,台北市大安區新生南路一段67號,25.042356,121.532905
忠孝復興,台北市大安區忠孝東路四段47號,25.041629,121.543767
忠孝敦化,台北市大安區忠孝東路四段182號,25.041478,121.551098
國父紀念館,台北市信義區忠孝東路四段400號,25.041349,121.557802
市政府,台北市信義區忠孝東路五段2號,25.041171,121.565228
永春,台北市信義區忠孝東路五段455號,25.040859,121.576293
後山埤,台北市南港區忠孝東路六段2號,25.045055,121.582522
昆陽,台北市南港區忠孝東路六段451號,25.050461,121.593268
南港,台北市南港區忠孝東路七段380號,25.052116,121.606686
南港展覽館,台北市南港區研究院路一段1號,25.055288,121.6175001
大坪林,新北市新店區北新路三段190號,24.982899,121.541352
十四張,新北市新店區民權路282號,24.9829302,121.5340099
秀朗橋,新北市中和區景平路2號,24.9905493,121.5250505
景平,新北市中和區景平路121號,24.9919681,121.5165532
景安,新北市中和區景平路486號,24.993905,121.505113
中和,新北市中和區中山路二段271號,25.0019806,121.4960519
橋和,新北市中和區板南路430號,25.0044131,121.4904608
中原,新北市中和區板南路510號,25.0084104,121.4841593
板新,新北市板橋區板新路109號,25.0144914,121.4722124
板橋,新北市板橋區新站路66號,25.015156,121.464825
新埔民生,新北市板橋區民生路三段70號,25.026125,121.466839
頭前庄,新北市新莊區思源路20號,25.039735,121.461655
幸福,新北市新莊區思源路292號,25.050282,121.460216
新北產業園區,新北市新莊區五工路35號,25.0615483,121.4599257
台北車站,台北市中正區鄭州路8號,25.0491868,121.515245
三重,新北市三重區捷運路36號,25.0552963,121.4813901
新北產業園區,新北市新莊區五工路37號,25.061716,121.4567028
新莊副都心,新北市新莊區新北大道四段188號,25.0591305,121.4434732
泰山,新北市泰山區新北大道四段431號,25.0532726,121.4373407
泰山貴和,新北市泰山區新北大道六段460號,25.0334752,121.4201443
體育大學,桃園市龜山區文化一路688號,25.041246,121.3832453
長庚醫院,桃園市龜山區文化一路6號,25.0604363,121.3679403
林口,新北市林口區八德路290號,25.0665023,121.3590943
山鼻,桃園市蘆竹區南山路三段155號,25.0803514,121.2834868
坑口,桃園市蘆竹區坑菓路460號,25.086516,121.2642601
機場第一航廈,桃園市大園區航站南路17之1號B1,25.081385,121.2353293
機場第二航廈,桃園市大園區航站南路9之1號B2,25.0772703,121.230063
機場旅館,桃園市大園區航站南路1之2號,25.0692598,121.2187503
大園,桃園市大園區橫湳一路50號,25.0560465,121.2082923
橫山,桃園市大園區大竹南路1180號,25.0460284,121.2045017
領航,桃園市大園區領航北路四段351號,25.0189695,121.2136874
高鐵桃園站,桃園市中壢區高鐵北路一段5號,25.013762,121.2119733
桃園體育園區,桃園市中壢區高鐵南路二段350號,25.001996,121.2013063
興南,桃園市中壢區中豐北路一段685號,24.9802492,121.2140726
環北,桃園市中壢區中豐北路一段26號,24.967381,121.2197492
